model,metric_type,score,iteration
lr-tfidf,f1,0.5789473684210527,5
lf-bow,f1,0.5389221556886228,5
nb-tfidf,f1,0.6024096385542169,5
nb-bow,f1,0.6024096385542169,5
knn-tfidf,f1,0.2877697841726618,5
knn-bow,f1,0.5421686746987951,5
svm-tfidf,f1,0.5771812080536912,5
svm-bow,f1,0.5616438356164384,5
t5,precision,0.8072289156626506,5
rf-tfidf,precision,0.9459459459459459,5
rf-bow,precision,0.9142857142857143,5
lr-tfidf,precision,0.7719298245614035,5
lf-bow,precision,0.625,5
nb-tfidf,precision,0.704225352112676,5
nb-bow,precision,0.704225352112676,5
knn-tfidf,precision,0.45454545454545453,5
knn-bow,precision,0.6338028169014085,5
svm-tfidf,precision,0.7962962962962963,5
svm-bow,precision,0.803921568627451,5
t5,recall,0.7052631578947368,5
rf-tfidf,recall,0.3684210526315789,5
rf-bow,recall,0.3368421052631579,5
lr-tfidf,recall,0.4631578947368421,5
lf-bow,recall,0.47368421052631576,5
nb-tfidf,recall,0.5263157894736842,5
nb-bow,recall,0.5263157894736842,5
knn-tfidf,recall,0.21052631578947367,5
knn-bow,recall,0.47368421052631576,5
svm-tfidf,recall,0.45263157894736844,5
svm-bow,recall,0.43157894736842106,5
t5,accuracy,0.812,6
rf-tfidf,accuracy,0.712,6
rf-bow,accuracy,0.712,6
lr-tfidf,accuracy,0.752,6
lf-bow,accuracy,0.724,6
nb-tfidf,accuracy,0.72,6
nb-bow,accuracy,0.72,6
knn-tfidf,accuracy,0.612,6
knn-bow,accuracy,0.652,6
svm-tfidf,accuracy,0.752,6
svm-bow,accuracy,0.752,6
t5,f1,0.768472906403941,6
rf-tfidf,f1,0.52,6
rf-bow,f1,0.5135135135135135,6
lr-tfidf,f1,0.6804123711340206,6
lf-bow,f1,0.6532663316582915,6
nb-tfidf,f1,0.6568627450980391,6
nb-bow,f1,0.6568627450980391,6
knn-tfidf,f1,0.348993288590604,6
knn-bow,f1,0.5193370165745856,6
svm-tfidf,f1,0.6770833333333333,6
svm-bow,f1,0.6630434782608696,6
t5,precision,0.7959183673469388,6
rf-tfidf,precision,0.8666666666666667,6
rf-bow,precision,0.8837209302325582,6
lr-tfidf,precision,0.7415730337078652,6
lf-bow,precision,0.6914893617021277,6
nb-tfidf,precision,0.6767676767676768,6
nb-bow,precision,0.6767676767676768,6
knn-tfidf,precision,0.5909090909090909,6
knn-bow,precision,0.618421052631579,6
svm-tfidf,precision,0.7471264367816092,6
svm-bow,precision,0.7721518987341772,6
t5,recall,0.7428571428571429,6
rf-tfidf,recall,0.37142857142857144,6
rf-bow,recall,0.3619047619047619,6
lr-tfidf,recall,0.6285714285714286,6
lf-bow,recall,0.6190476190476191,6
nb-tfidf,recall,0.638095238095238,6
nb-bow,recall,0.638095238095238,6
knn-tfidf,recall,0.24761904761904763,6
knn-bow,recall,0.44761904761904764,6
svm-tfidf,recall,0.6190476190476191,6
svm-bow,recall,0.580952380952381,6
t5,accuracy,0.832,7
rf-tfidf,accuracy,0.696,7
rf-bow,accuracy,0.692,7
lr-tfidf,accuracy,0.756,7
lf-bow,accuracy,0.748,7
nb-tfidf,accuracy,0.712,7
nb-bow,accuracy,0.712,7
knn-tfidf,accuracy,0.572,7
knn-bow,accuracy,0.62,7
svm-tfidf,accuracy,0.776,7
svm-bow,accuracy,0.74,7
t5,f1,0.7999999999999999,7
rf-tfidf,f1,0.5000000000000001,7
rf-bow,f1,0.5095541401273885,7
lr-tfidf,f1,0.6772486772486772,7
lf-bow,f1,0.6956521739130436,7
nb-tfidf,f1,0.64,7
nb-bow,f1,0.64,7
knn-tfidf,f1,0.3184713375796178,7
knn-bow,f1,0.4692737430167598,7
svm-tfidf,f1,0.7021276595744682,7
svm-bow,f1,0.632768361581921,7
t5,precision,0.8316831683168316,7
rf-tfidf,precision,0.8837209302325582,7
rf-bow,precision,0.8333333333333334,7
lr-tfidf,precision,0.8,7
lf-bow,precision,0.7346938775510204,7
nb-tfidf,precision,0.7032967032967034,7
nb-bow,precision,0.7032967032967034,7
knn-tfidf,precision,0.5208333333333334,7
knn-bow,precision,0.6,7
svm-tfidf,precision,0.8354430379746836,7
svm-bow,precision,0.8235294117647058,7
t5,recall,0.7706422018348624,7
rf-tfidf,recall,0.3486238532110092,7
rf-bow,recall,0.3669724770642202,7
lr-tfidf,recall,0.5871559633027523,7
lf-bow,recall,0.6605504587155964,7
nb-tfidf,recall,0.5871559633027523,7
nb-bow,recall,0.5871559633027523,7
knn-tfidf,recall,0.22935779816513763,7
knn-bow,recall,0.3853211009174312,7
svm-tfidf,recall,0.6055045871559633,7
svm-bow,recall,0.5137614678899083,7
t5,accuracy,0.82,8
rf-tfidf,accuracy,0.72,8
rf-bow,accuracy,0.728,8
lr-tfidf,accuracy,0.76,8
lf-bow,accuracy,0.712,8
nb-tfidf,accuracy,0.772,8
nb-bow,accuracy,0.772,8
knn-tfidf,accuracy,0.64,8
knn-bow,accuracy,0.664,8
svm-tfidf,accuracy,0.752,8
svm-bow,accuracy,0.74,8
t5,f1,0.7513812154696132,8
rf-tfidf,f1,0.4776119402985074,8
rf-bow,f1,0.4925373134328358,8
lr-tfidf,f1,0.6153846153846154,8
lf-bow,f1,0.5862068965517242,8
nb-tfidf,f1,0.6545454545454545,8
nb-bow,f1,0.6545454545454545,8
knn-tfidf,f1,0.2741935483870968,8
knn-bow,f1,0.475,8
svm-tfidf,f1,0.6025641025641025,8
svm-bow,f1,0.5751633986928105,8
t5,precision,0.7555555555555555,8
rf-tfidf,precision,0.7441860465116279,8
rf-bow,precision,0.7674418604651163,8
lr-tfidf,precision,0.7384615384615385,8
lf-bow,precision,0.6144578313253012,8
nb-tfidf,precision,0.7297297297297297,8
nb-bow,precision,0.7297297297297297,8
knn-tfidf,precision,0.5151515151515151,8
knn-bow,precision,0.5507246376811594,8
svm-tfidf,precision,0.7230769230769231,8
svm-bow,precision,0.7096774193548387,8
t5,recall,0.7472527472527473,8
rf-tfidf,recall,0.3516483516483517,8
rf-bow,recall,0.3626373626373626,8
lr-tfidf,recall,0.5274725274725275,8
lf-bow,recall,0.5604395604395604,8
nb-tfidf,recall,0.5934065934065934,8
nb-bow,recall,0.5934065934065934,8
knn-tfidf,recall,0.18681318681318682,8
knn-bow,recall,0.4175824175824176,8
svm-tfidf,recall,0.5164835164835165,8
svm-bow,recall,0.4835164835164835,8
t5,accuracy,0.808,9
rf-tfidf,accuracy,0.744,9
rf-bow,accuracy,0.736,9
lr-tfidf,accuracy,0.76,9
lf-bow,accuracy,0.728,9
nb-tfidf,accuracy,0.748,9
nb-bow,accuracy,0.748,9
knn-tfidf,accuracy,0.632,9
knn-bow,accuracy,0.592,9
svm-tfidf,accuracy,0.768,9
svm-bow,accuracy,0.796,9
t5,f1,0.7333333333333334,9
rf-tfidf,f1,0.5675675675675675,9
rf-bow,f1,0.5285714285714287,9
lr-tfidf,f1,0.6551724137931034,9
lf-bow,f1,0.6179775280898877,9
nb-tfidf,f1,0.676923076923077,9
nb-bow,f1,0.676923076923077,9
knn-tfidf,f1,0.3235294117647059,9
knn-bow,f1,0.4,9
svm-tfidf,f1,0.6588235294117647,9
svm-bow,f1,0.7017543859649122,9
t5,precision,0.7674418604651163,9
rf-tfidf,precision,0.7777777777777778,9
rf-bow,precision,0.8043478260869565,9
lr-tfidf,precision,0.7125,9
lf-bow,precision,0.6547619047619048,9
nb-tfidf,precision,0.6534653465346535,9
nb-bow,precision,0.6534653465346535,9
knn-tfidf,precision,0.5238095238095238,9
knn-bow,precision,0.4473684210526316,9
svm-tfidf,precision,0.7368421052631579,9
svm-bow,precision,0.7792207792207793,9
t5,recall,0.7021276595744681,9
rf-tfidf,recall,0.44680851063829785,9
rf-bow,recall,0.39361702127659576,9
lr-tfidf,recall,0.6063829787234043,9
lf-bow,recall,0.5851063829787234,9
nb-tfidf,recall,0.7021276595744681,9
nb-bow,recall,0.7021276595744681,9
knn-tfidf,recall,0.23404255319148937,9
knn-bow,recall,0.3617021276595745,9
svm-tfidf,recall,0.5957446808510638,9
svm-bow,recall,0.6382978723404256,9
t5,accuracy,0.832,10
rf-tfidf,accuracy,0.7,10
rf-bow,accuracy,0.696,10
lr-tfidf,accuracy,0.744,10
lf-bow,accuracy,0.72,10
nb-tfidf,accuracy,0.732,10
nb-bow,accuracy,0.732,10
knn-tfidf,accuracy,0.592,10
knn-bow,accuracy,0.632,10
svm-tfidf,accuracy,0.74,10
svm-bow,accuracy,0.736,10
t5,f1,0.8037383177570094,10
rf-tfidf,f1,0.5454545454545454,10
rf-bow,f1,0.525,10
lr-tfidf,f1,0.6666666666666666,10
lf-bow,f1,0.6428571428571428,10
nb-tfidf,f1,0.6824644549763033,10
